"Заголовок";"Дата";"Ссылка";"Начало статьи"
"Пользователи Авто.ру выбрали «Электрическую новинку 2022 года»";"2023-01-20";"https://mag.auto.ru/article/polzovateli-avtoru-vybrali-elektricheskuyu-novinku-2022-goda/";"В рамках большого голосования за «Параллельную новинку 2022 года», которое Авто.ру организовал при поддержке телеканала «АвтоПлюс», определён победитель в заключительной категории — «Электрическая новинка года». Им стал большой кроссовер BMW iX."
"Самую мощную BMW M3 рассекретили за 10 дней до премьеры";"2023-01-19";"https://mag.auto.ru/article/fotografii-samoy-moshchnoy-bmw-m3-popali-v-set-za-10-dney-do-oficialnogo-debyuta/";"Компания BMW рассчитывала представить четырёхдверку M3 в исполнении CS (Competition Sport) на гонке «24 часа Дайтоны» 28 января. Однако, как пишет CarBuzz, внешность и интерьер будущей новинки уже рассекречены благодаря утечке официальных фотографий."
"На дисплее медиасистемы BMW i7 будут показывать футбол";"2023-01-19";"https://mag.auto.ru/article/na-displee-mediasistemy-bmw-i7-budut-pokazyvat-futbol/";"Для медиасистемы BMW i7 стало доступно специальное приложение немецкой Бундеслиги: теперь смотреть некоторые матчи в прямом эфире можно прямо на центральном экране. Но владельцы флагманского электрокара BMW, желающие поболеть за любимую команду, будут выну"
"Экоактивисты раскритиковали BMW и Toyota на рекламных щитах";"2023-01-18";"https://mag.auto.ru/article/ekoaktivisty-nelegalno-razmestili-kritiku-bmw-i-toyota-na-reklamnyh-shchitah/";"Три группы экоактивистов взяли на себя ответственность за скоординированную акцию по взлому рекламных поверхностей во Франции, Германии, Великобритании и Бельгии. Как пишет Carscoops со ссылкой на многочисленные сообщения в Twitter, на нескольких сотнях ре"
"Соперник BMW X6 от Genesis: первые фото";"2023-01-18";"https://mag.auto.ru/article/koreycy-iz-genesis-gotovyat-konkurenta-bmw-x6-pervye-foto/";"Компания Genesis вывела на тесты первый прототип будущего новейшего кросс-купе на базе модели GV80. Как пишет Carscoops, новинка станет непосредственным конкурентом таких моделей, как BMW X6 или Mercedes-Benz GLE Coupe. Вероятнее всего, кросс-купе пополнит"
"Выбрана главная новинка России 2022 года, мощная «Нива» и странный BMW за 37 миллионов рублей. Главное за день";"2023-01-17";"https://mag.auto.ru/article/vybrana-glavnaya-novinka-moshchnaya-niva-glavnoe/";"Добрый вечер! Подведены результаты народного голосования за Параллельную новинку 2022 года. За первое место боролись 11 моделей, а всего в опросе приняли участие более 133 тысяч человек. Победителем, причём со значительным отрывом, стал Range Rover последн"
"В России начали продавать гибридный суперкроссовер BMW XM за 37 миллионов рублей";"2023-01-17";"https://mag.auto.ru/article/rossiyanam-predlozhili-gibridnyy-superkrossover-bmw-xm-za-37-millionov/";"На Авто.ру появилось объявление о продаже нового гибридного суперкроссовера BMW XM. Дилер во Владивостоке готов привезти машину на заказ из Китая за 36 765 000 рублей. При этом производят модель только в американском Спартанберге — там же, где делают все в"
"Tesla впервые стала самым популярным премиальным автобрендом в США";"2023-01-16";"https://mag.auto.ru/article/tesla-vpervye-stala-vedushchim-lyuksovym-avtobrendom-v-ssha/";"По итогам 2022 года самой популярной премиальной маркой в США впервые стала Tesla. Передав клиентам 491 тысячу машин, компания Илона Маска перехватила пальму первенства, которую в предыдущие три года удерживала BMW, говорится в исследовании Automotive News"
"Назван самый продаваемый спорткар BMW M 2022 года";"2023-01-15";"https://mag.auto.ru/article/samym-prodavaemym-sportkarom-bmw-v-2022-godu-stal-elektromobil-i4-m50/";"Спортивное подразделение BMW объявило, что самой продаваемой M-моделью по итогам 2022 года стал лифтбек i4 в исполнении M50. Производитель также назвал успешным коммерческий дебют кроссовера iX M60, но конкретных цифр не привёл. При этом пообещал, что в 20"
"Раскрыта дата премьеры спортседана BMW M3 CS";"2023-01-14";"https://mag.auto.ru/article/raskryty-data-i-mesto-premery-sportsedana-bmw-m3-cs/";"Премьера седана BMW M3 CS нового поколения состоится 28 января в рамках марафона «24 часа Дейтоны», объявило BMW M GmbH. Соответствующий анонс подразделение сделало одновременно с публикацией результатов за 2022-й финансовый год, оказавшийся рекордным: все"
"В России запатентовали конкурента BMW 5 серии из Китая";"2023-01-12";"https://mag.auto.ru/article/v-rossii-zapatentovali-konkurenta-audi-a6-i-bmw-5serii-iz-kitaya/";"В открытой базе Роспатента появились изображения нового седана для российского рынка — премиального седана Hongqi H5. В Китае модель была представлена в мае 2022 года, на домашнем рынке она доступна с бензиновыми двигателями и гибридной силовой установкой."
"BMW обновила удлинённую версию 3 серии «цифровым кокпитом»";"2023-01-11";"https://mag.auto.ru/article/bmw-obnovila-udlinyonnuyu-versiyu-sedana-3-serii/";"В рамках выставки Auto Expo в Индии компания BMW представила обновлённую версию седана 3 серии с удлинённой на 110 миллиметров колёсной базой: на местном рынке она продаётся с приставкой Gran Limousine к имени. «Лимузину» модернизировали внешность и интерь"
"BMW отзовёт электрокары трёх моделей";"2023-01-10";"https://mag.auto.ru/article/bmw-otzovyot-elektrokary-tryoh-modeley-oni-mogut-vnezapno-ostanovitsya/";"Компания BMW в феврале начнёт отзывную кампанию, участвовать в которой будут электрокары моделей i4, i7 и iX. Они могут внезапно потерять мощность и, как следствие, неожиданно остановиться, что увеличивает риск аварии. Только в США отзовут более 14 тысяч э"
"Электрический спорткар BMW i4 M50 появился в России по цене 9,5 миллиона рублей";"2023-01-10";"https://mag.auto.ru/article/elektricheskiy-bmw-i4-m50-ocenili-v-rossii-v-95-mln-rubley/";"На Авто.ру появилось объявление о продаже электрического лифтбека BMW i4 M50. За новый спорткар без пробега просят 9,5 миллиона рублей. Автомобиль находится в Москве, растаможен и получил электронный ПТС."
"Интерьер электрокаров BMW Neue Klasse: первое фото";"2023-01-06";"https://mag.auto.ru/article/interer-elektrokarov-bmw-neue-klasse-pervoe-foto/";"Компания BMW опубликовала первое изображение интерьера электромобилей из нового семейства Neue Klasse. Оно демонстрирует узкий, но очень длинный дисплей. Глава компании Оливер Ципсе заявил, что такой дисплей появится на серийных BMW уже в 2025 году."
"BMW показала футуристичный седан i Vision Dee, кузов которого способен менять до 32 цветов";"2023-01-05";"https://mag.auto.ru/article/bmw-predstavila-koncept-i-vision-dee-noveyshiy-displey-i-32-cveta-kuzova/";"Компания BMW в рамках выставки электроники CES в Лас-Вегасе представила концепт-кар i Vision Dee. О технических характеристиках новинки компания пока не сообщала: футуристичный седан разработан для демонстрации новейших цифровых технологий BMW. К примеру, "
